player,shotsMade,totalShots,threesMade,threesTaken,fldGoalPct,threesPct,imagePath,idx,team
Jordan Clarkson,403,905,95,291,0.445,0.326,https://w-chun.github.io/NBA-Bubble/images/jc6.png,0,Los Angeles Lakers
Julius Randle,316,649,12,48,0.487,0.25,https://w-chun.github.io/NBA-Bubble/images/jr30.png,1,Los Angeles Lakers
Lou Williams,308,875,115,299,0.447,0.385,https://w-chun.github.io/NBA-Bubble/images/lw23.png,2,Los Angeles Lakers
DAngelo Russell,305,736,120,329,0.414,0.365,https://w-chun.github.io/NBA-Bubble/images/dlo.png,3,Los Angeles Lakers
Nick Young,248,571,153,379,0.434,0.404,https://w-chun.github.io/NBA-Bubble/images/ny0.png,4,Los Angeles Lakers
Brandon Ingram,219,553,45,156,0.396,0.288,https://w-chun.github.io/NBA-Bubble/images/bi14.png,5,Los Angeles Lakers
Timofey Mozgov,160,308,0,1,0.52,0,https://w-chun.github.io/NBA-Bubble/images/tm20.png,6,Los Angeles Lakers
Luol Deng,158,409,49,158,0.386,0.31,https://w-chun.github.io/NBA-Bubble/images/ld9.png,7,Los Angeles Lakers
Larry Nance Jr,155,292,5,24,0.531,0.208,https://w-chun.github.io/NBA-Bubble/images/ln7.png,8,Los Angeles Lakers
Tarik Black,122,245,1,2,0.498,0.5,https://w-chun.github.io/NBA-Bubble/images/tb28.png,9,Los Angeles Lakers
Ivica Zubac,107,203,0,2,0.527,0,https://w-chun.github.io/NBA-Bubble/images/iz40.png,10,Los Angeles Lakers
Thomas Robinson,68,129,0,0,0.527,0,https://w-chun.github.io/NBA-Bubble/images/tr15.png,11,Los Angeles Lakers
Corey Brewer,37,281,4,17,0.457,0.235,https://w-chun.github.io/NBA-Bubble/images/cb3.png,12,Los Angeles Lakers
Tyler Ennis,35,145,9,27,0.432,0.333,https://w-chun.github.io/NBA-Bubble/images/te10.png,13,Los Angeles Lakers
Jose Calderon,32,99,12,34,0.427,0.353,https://w-chun.github.io/NBA-Bubble/images/jc5.png,14,Los Angeles Lakers
David Nwaba,26,44,1,2,0.591,0.5,https://w-chun.github.io/NBA-Bubble/images/dn10.png,15,Los Angeles Lakers
Marcelo Huertas,24,61,4,18,0.393,0.222,https://w-chun.github.io/NBA-Bubble/images/mh4.png,16,Los Angeles Lakers
Metta World Peace,6,28,2,17,0.214,0.118,https://w-chun.github.io/NBA-Bubble/images/mwp37.png,17,Los Angeles Lakers
Stephen Curry,587,1261,282,693,0.466,0.407,https://w-chun.github.io/NBA-Bubble/images/sc30.png,18,Golden State Warriors
Klay Thompson,577,1229,246,587,0.469,0.419,https://w-chun.github.io/NBA-Bubble/images/kt11.png,19,Golden State Warriors
Kevin Durant,496,924,105,277,0.537,0.379,https://w-chun.github.io/NBA-Bubble/images/kd35.png,20,Golden State Warriors
Draymond Green,249,583,75,234,0.427,0.321,https://w-chun.github.io/NBA-Bubble/images/dg23.png,21,Golden State Warriors
Andre Iguodala,192,371,58,161,0.518,0.36,https://w-chun.github.io/NBA-Bubble/images/ai9.png,22,Golden State Warriors
Ian Clark,183,371,52,139,0.493,0.374,https://w-chun.github.io/NBA-Bubble/images/ic21.png,23,Golden State Warriors
JaVale McGee,171,270,0,4,0.633,0,https://w-chun.github.io/NBA-Bubble/images/jm1.png,24,Golden State Warriors
Shaun Livingston,143,266,0,1,0.538,0,https://w-chun.github.io/NBA-Bubble/images/sl34.png,25,Golden State Warriors
Zaza Pachulia,140,261,0,0,0.536,0,https://w-chun.github.io/NBA-Bubble/images/zp27.png,26,Golden State Warriors
David West,121,216,3,6,0.56,0.5,https://w-chun.github.io/NBA-Bubble/images/dw3.png,27,Golden State Warriors
Patrick McCaw,84,193,36,101,0.435,0.356,https://w-chun.github.io/NBA-Bubble/images/pm0.png,28,Golden State Warriors
Kevon Looney,55,105,2,9,0.524,0.222,https://w-chun.github.io/NBA-Bubble/images/kl36.png,29,Golden State Warriors
James Michael McAdoo,54,99,0,4,0.545,0,https://w-chun.github.io/NBA-Bubble/images/jmm20.png,30,Golden State Warriors
Matt Barnes,32,72,15,41,0.444,0.366,https://w-chun.github.io/NBA-Bubble/images/mb22.png,31,Golden State Warriors
Damian Jones,6,13,0,0,0.462,0,https://w-chun.github.io/NBA-Bubble/images/dj15.png,32,Golden State Warriors
Briante Weber,5,14,0,3,0.357,0,https://w-chun.github.io/NBA-Bubble/images/bw2.png,33,Golden State Warriors
Anderson Varejao,4,12,0,0,0.333,0,https://w-chun.github.io/NBA-Bubble/images/av18.png,34,Golden State Warriors
Golden State Warriors,3099,6260,874,2260,0.495,0.387,https://w-chun.github.io/NBA-Bubble/images/gsw.png,35,Golden State Warriors
Lakers,2729,6533,627,1804,0.450,0.348,https://w-chun.github.io/NBA-Bubble/images/lakers.png,36,Los Angeles Lakers
