player,shotsMade,totalShots,threesMade,threesTaken,fldGoalPct,threesPct,imagePath,idx,team
Jordan Clarkson,403,905,95,291,0.445,0.326,https://w-chun.github.io/NBA-Bubble/images/jc6.png,0,Los Angeles Lakers
Julius Randle,316,649,12,48,0.487,0.25,https://w-chun.github.io/NBA-Bubble/images/jr30.png,1,Los Angeles Lakers
Lou Williams,308,875,115,299,0.447,0.385,https://w-chun.github.io/NBA-Bubble/images/lw23.png,2,Los Angeles Lakers
DAngelo Russell,305,736,120,329,0.414,0.365,https://w-chun.github.io/NBA-Bubble/images/dlo.png,3,Los Angeles Lakers
Nick Young,248,571,153,379,0.434,0.404,https://w-chun.github.io/NBA-Bubble/images/ny0.png,4,Los Angeles Lakers
Brandon Ingram,219,553,45,156,0.396,0.288,https://w-chun.github.io/NBA-Bubble/images/bi14.png,5,Los Angeles Lakers
Timofey Mozgov,160,308,0,1,0.52,0,https://w-chun.github.io/NBA-Bubble/images/tm20.png,6,Los Angeles Lakers
Luol Deng,158,409,49,158,0.386,0.31,https://w-chun.github.io/NBA-Bubble/images/ld9.png,7,Los Angeles Lakers
Larry Nance Jr,155,292,5,24,0.531,0.208,https://w-chun.github.io/NBA-Bubble/images/ln7.png,8,Los Angeles Lakers
Tarik Black,122,245,1,2,0.498,0.5,https://w-chun.github.io/NBA-Bubble/images/tb28.png,9,Los Angeles Lakers
Ivica Zubac,107,203,0,2,0.527,0,https://w-chun.github.io/NBA-Bubble/images/iz40.png,10,Los Angeles Lakers
Thomas Robinson,68,129,0,0,0.527,0,https://w-chun.github.io/NBA-Bubble/images/tr15.png,11,Los Angeles Lakers
Corey Brewer,37,281,4,17,0.457,0.235,https://w-chun.github.io/NBA-Bubble/images/cb3.png,12,Los Angeles Lakers
Tyler Ennis,35,145,9,27,0.432,0.333,https://w-chun.github.io/NBA-Bubble/images/te10.png,13,Los Angeles Lakers
Jose Calderon,32,99,12,34,0.427,0.353,https://w-chun.github.io/NBA-Bubble/images/jc5.png,14,Los Angeles Lakers
David Nwaba,26,44,1,2,0.591,0.5,https://w-chun.github.io/NBA-Bubble/images/dn10.png,15,Los Angeles Lakers
Marcelo Huertas,24,61,4,18,0.393,0.222,https://w-chun.github.io/NBA-Bubble/images/mh4.png,16,Los Angeles Lakers
Metta World Peace,6,28,2,17,0.214,0.118,https://w-chun.github.io/NBA-Bubble/images/mwp37.png,17,Los Angeles Lakers
Lakers,2729,6533,627,1804,0.45,0.348,https://w-chun.github.io/NBA-Bubble/images/lakers.png,18,Los Angeles Lakers
