name,team_name,game_date,season,espn_player_id,team_id,espn_game_id,period,minutes_remaining,seconds_remaining,shot_made_flag,action_type,shot_type,shot_distance,opponent,x,y,dribbles,touch_time,defender_name,defender_distance,shot_clock
"Timofey Mozgov","Los Angeles Lakers",2016-11-10,2016,4298,1610612747,0,4,7,38,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Sacramento Kings",0,1,0,0.00,,0.00,0.00
"Larry Nance Jr","Los Angeles Lakers",2017-03-03,2016,2580365,1610612747,400900313,3,3,55,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Boston Celtics",0,1,0,0.00,,0.00,0.00
"Brandon Ingram","Los Angeles Lakers",2016-10-26,2016,3913176,1610612747,400899415,2,9,00,1,"Alley Oop Dunk Shot","2PT Field Goal",1,"Houston Rockets",5,16,0,0.00,,0.00,0.00
"Tarik Black","Los Angeles Lakers",2016-11-23,2016,2528393,1610612747,400899673,4,9,14,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Brandon Ingram","Los Angeles Lakers",2016-11-15,2016,3913176,1610612747,400899607,4,11,24,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Los Angeles Lakers",2016-11-29,2016,4298,1610612747,400899713,3,2,32,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"Tarik Black","Los Angeles Lakers",2016-10-26,2016,2528393,1610612747,400899415,1,1,36,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Houston Rockets",0,1,0,0.00,,0.00,0.00
"Brandon Ingram","Los Angeles Lakers",2016-11-13,2016,3913176,1610612747,400899592,2,11,45,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Los Angeles Lakers",2016-11-20,2016,4298,1610612747,400899648,2,2,52,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"Larry Nance Jr","Los Angeles Lakers",2016-11-20,2016,2580365,1610612747,400899648,4,11,25,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Los Angeles Lakers",2016-11-15,2016,4298,1610612747,400899607,3,9,53,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Brooklyn Nets",0,1,0,0.00,,0.00,0.00
"Larry Nance Jr","Los Angeles Lakers",2016-11-20,2016,2580365,1610612747,400899648,2,8,56,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Chicago Bulls",0,1,0,0.00,,0.00,0.00
"Brandon Ingram","Los Angeles Lakers",2016-12-17,2016,3913176,1610612747,400899844,1,5,20,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Cleveland Cavaliers",0,1,0,0.00,,0.00,0.00
"Larry Nance Jr","Los Angeles Lakers",2017-03-07,2016,2580365,1610612747,400900342,3,0,44,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Dallas Mavericks",1,-1,0,0.00,,0.00,0.00
"Tarik Black","Los Angeles Lakers",2017-03-30,2016,2528393,1610612747,400900518,3,8,02,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Minnesota Timberwolves",0,1,0,0.00,,0.00,0.00
"Larry Nance Jr","Los Angeles Lakers",2016-11-27,2016,2580365,1610612747,400899702,2,10,55,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Atlanta Hawks",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Los Angeles Lakers",2016-11-29,2016,4298,1610612747,400899713,3,2,57,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"New Orleans Pelicans",0,1,0,0.00,,0.00,0.00
"Brandon Ingram","Los Angeles Lakers",2017-01-31,2016,3913176,1610612747,400900150,4,11,49,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Denver Nuggets",0,1,0,0.00,,0.00,0.00
"Brandon Ingram","Los Angeles Lakers",2017-02-24,2016,3913176,1610612747,400900267,4,11,27,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Jordan Clarkson","Los Angeles Lakers",2017-01-06,2016,2528426,1610612747,400899970,2,11,35,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Miami Heat",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Los Angeles Lakers",2016-11-22,2016,4298,1610612747,400899661,3,3,27,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Oklahoma City Thunder",0,1,0,0.00,,0.00,0.00
"Larry Nance Jr","Los Angeles Lakers",2017-02-02,2016,2580365,1610612747,400899446,4,9,58,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Washington Wizards",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Los Angeles Lakers",2017-01-20,2016,4298,1610612747,400900070,3,0,52,0,"Alley Oop Dunk Shot","2PT Field Goal",0,"Indiana Pacers",0,1,0,0.00,,0.00,0.00
"Tarik Black","Los Angeles Lakers",2016-11-04,2016,2528393,1610612747,400899528,1,0,40,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Timofey Mozgov","Los Angeles Lakers",2016-11-04,2016,4298,1610612747,400899528,3,9,36,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Tarik Black","Los Angeles Lakers",2016-11-04,2016,2528393,1610612747,400899528,2,11,44,1,"Alley Oop Dunk Shot","2PT Field Goal",0,"Golden State Warriors",0,1,0,0.00,,0.00,0.00
"Ivica Zubac","Los Angeles Lakers",2017-02-10,2016,4017837,1610612747,400900207,2,7,22,1,"Alley Oop Layup shot","2PT Field Goal",0,"Milwaukee Bucks",1,7,0,0.00,,0.00,0.00
"Larry Nance Jr","Los Angeles Lakers",2016-11-30,2016,2580365,1610612747,400899719,4,10,28,1,"Alley Oop Layup shot","2PT Field Goal",0,"Chicago Bulls",7,2,0,0.00,,0.00,0.00
"Tarik Black","Los Angeles Lakers",2017-01-06,2016,2528393,1610612747,400899970,4,10,06,1,"Alley Oop Layup shot","2PT Field Goal",1,"Miami Heat",-11,-2,0,0.00,,0.00,0.00
"Julius Randle","Los Angeles Lakers",2017-01-03,2016,3064514,1610612747,400899453,1,2,34,1,"Alley Oop Layup shot","2PT Field Goal",2,"Memphis Grizzlies",18,23,0,0.00,,0.00,0.00
"Timofey Mozgov","Los Angeles Lakers",2017-01-03,2016,4298,1610612747,400899453,2,2,05,0,"Alley Oop Layup shot","2PT Field Goal",1,"Memphis Grizzlies",5,11,0,0.00,,0.00,0.00
"Lou Williams","Los Angeles Lakers",2017-02-03,2016,,1610612747,400900156,3,0,54,1,"Alley Oop Layup shot","2PT Field Goal",1,"Boston Celtics",19,3,0,0.00,,0.00,0.00
"Ivica Zubac","Los Angeles Lakers",2016-12-23,2016,4017837,1610612747,400899885,4,11,43,0,"Alley Oop Layup shot","2PT Field Goal",1,"Orlando Magic",-17,-1,0,0.00,,0.00,0.00
"Larry Nance Jr","Los Angeles Lakers",2017-02-15,2016,2580365,1610612747,400900250,4,11,43,0,"Alley Oop Layup shot","2PT Field Goal",1,"Phoenix Suns",-16,3,0,0.00,,0.00,0.00
